記号,希少性スコア,5件以下カテゴリ数,文字数,文長頑健zスコア,希少性上位1%,|文長z|≥3.5,確認候補
28障385,23.000561319713654,0,35,-1.1803588290840417,False,False,False
20障35,22.9828115939524,0,62,-0.26979630379063807,False,False,False
19障144,22.981675484780286,0,42,-0.9442870632672333,False,False,False
22障434,22.97473255784935,0,55,-0.5058680696074465,False,False,False
2019障92,22.964746792761876,0,62,-0.26979630379063807,False,False,False
28障191,22.963024867352058,0,56,-0.47214353163361666,False,False,False
21障437,22.96211804002456,0,77,0.23607176581680833,False,False,False
26障236,22.94018887141162,0,96,0.8768379873195737,False,False,False
30障250,22.920400580857468,0,34,-1.2140833670578715,False,False,False
21障280,22.913689278739273,0,74,0.13489815189531904,False,False,False
2021障80,22.891149430196773,0,67,-0.10117361392148928,False,False,False
2022障255,22.888883625466395,0,80,0.3372453797382976,False,False,False
27障14,22.888554004551647,0,89,0.6407662215027655,False,False,False
2021障204,22.88021118280471,0,59,-0.3709699177121274,False,False,False
18障19,22.876379908651668,0,56,-0.47214353163361666,False,False,False
27障404,22.874164944007894,0,118,1.6187778227438285,False,False,False
19障482,22.87050759032259,0,42,-0.9442870632672333,False,False,False
17障112,22.86779354567079,0,104,1.1466342911102119,False,False,False
17障416,22.85577362103647,0,43,-0.9105625252934035,False,False,False
24障154,22.848786407075067,0,107,1.2478079050317012,False,False,False
27障246,22.848008209521655,0,51,-0.6407662215027655,False,False,False
2022障238,22.829579376645416,0,83,0.43841899365978687,False,False,False
2022障239,22.829579376645416,0,88,0.6070416835289357,False,False,False
26障1,22.828369595227464,0,47,-0.7756643733980845,False,False,False
29障384,22.826324711996833,0,106,1.2140833670578715,False,False,False
17障114,22.825829346571755,0,44,-0.8768379873195737,False,False,False
20障116,22.8102555531586,0,27,-1.4501551328746798,False,False,False
2023障288,22.808755235911594,0,83,0.43841899365978687,False,False,False
22障120,22.805963701077058,0,41,-0.9780116012410631,False,False,False
27障82,22.793041536922974,0,97,0.9105625252934035,False,False,False
23障99,22.78716672864695,0,81,0.3709699177121274,False,False,False
18障431,22.78020987948537,1,94,0.8093889113719143,False,False,False
29障381,22.771012596000542,0,63,-0.23607176581680833,False,False,False
17障217,22.760845390866297,0,50,-0.6744907594765952,False,False,False
17障430,22.758501404292446,0,73,0.10117361392148928,False,False,False
17障11,22.757585338195092,0,53,-0.5733171455551059,False,False,False
18障331,22.744593126140344,0,61,-0.30352084176446786,False,False,False
22障34,22.744494391251767,0,45,-0.8431134493457441,False,False,False
19障137,22.74370293264933,0,49,-0.708215297450425,False,False,False
28障92,22.743549412802547,0,29,-1.3827060569270202,False,False,False
25障94,22.722419300606358,0,37,-1.112909753136382,False,False,False
26障213,22.71749682933323,0,15,-1.8548495885606369,False,False,False
30障94,22.70561819047914,0,89,0.6407662215027655,False,False,False
22障461,22.69647074796067,0,36,-1.1466342911102119,False,False,False
23障352,22.69134626953839,0,70,0.0,False,False,False
26障93,22.690839596383018,0,137,2.259544044246594,False,False,False
25障373,22.683265924434835,0,52,-0.6070416835289357,False,False,False
29障90,22.67613854804235,0,102,1.0791852151625523,False,False,False
19障468,22.665175718948497,0,79,0.30352084176446786,False,False,False
26障95,22.64887539728399,0,118,1.6187778227438285,False,False,False
22障392,22.64466399943238,1,81,0.3709699177121274,False,False,False
24障121,22.643997338830555,0,53,-0.5733171455551059,False,False,False
24障122,22.643997338830555,0,50,-0.6744907594765952,False,False,False
2021障30,22.62430767844104,0,117,1.5850532847699987,False,False,False
28障41,22.622948076429957,0,128,1.9560232024821262,False,False,False
22障422,22.616307394514937,0,55,-0.5058680696074465,False,False,False
26障382,22.6149141267991,0,81,0.3709699177121274,False,False,False
26障405,22.6109709993757,0,59,-0.3709699177121274,False,False,False
26障94,22.597696264663785,0,86,0.5395926075812761,False,False,False
24障397,22.580891797001364,0,74,0.13489815189531904,False,False,False
26障37,22.570238260010427,0,52,-0.6070416835289357,False,False,False
21障255,22.565109553443968,0,118,1.6187778227438285,False,False,False
